Hospital Name,Address 1,City,State,ZIP Code,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,17,13.7,13.7
MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,23,18.8,17
ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,21.8,13.9,15.8
MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Not Available,18.2,19
CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Not Available,18.7,21.5
MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,Not Available,15.6,11
ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,22.1,13.8,19.6
DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,22.8,22,20.2
SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,20,17.1,13.6
HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,25.1,16,18.5
DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,21.7,15.7,13.1
CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,Not Available,16.6,20.1
BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,21.5,14.7,18.1
JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,21.2,12.6,17.5
GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,19.2,11.8,14.2
ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,Not Available,Not Available,16.2
EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,19.9,15.5,15.5
WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,Not Available,15.1,19.1
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,18.9,15.7,15.9
COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,21.1,16.2,15.4
CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,21.2,14.8,14.8
ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Not Available,13.5,14.6
STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,21.6,15.6,15.6
HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,17.6,14.1,16.1
GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,20.9,13.4,17.9
CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,Not Available,16.2,15.6
MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,Not Available,15.9,13.7
FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,21,15.5,16.5
RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,21.1,13.6,16
GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,18.3,14.7,15.4
MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,21.7,16.8,16.9
ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,Not Available,17.6,19.7
GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,Not Available,16.2,16.6
LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,Not Available,15.6,16
PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,20.1,13.6,15.6
FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,18.8,14.7,14
ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,19.8,13,15.2
BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,Not Available,19.1,18.9
LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,19.6,13.8,13.3
HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,19.4,17.3,15.8
WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Not Available,14.2,16.1
